material  lattice_constant  bul_modulus  band_gap  rS_A rP_A rS_B rP_B Z_A Z_B HOMO_A LUMO_A EA_A IP_A HOMO_B LUMO_B EA_B IP_B c_A 
KBiO3  4.21069274  0.403092760014  0.02676301  2.28600 3.16750 0.99410 1.31290 19 83 -2.316079740255 -0.739096593542 -0.689630302974 4.167733649580 -4.706546707306 -4.706546868874 -1.846753393810 7.964551439414 1.00
RbAlO3  3.87160663  0.773130179948  0.01319530  2.39300 3.29810 1.10410 1.43130 37 13 -2.224275864208 -2.224275940564 -0.611258460659 4.006416322987 -2.547095300306 -2.547095387743 -0.308077870308 5.449666311380 1.00
RbTiO3  3.96503680  0.96020290245  0.04776918  2.39300 3.29810 1.54120 2.08940 37 22 -2.224275864208 -2.224275940564 -0.611258460659 4.006416322987 -3.667603032050 -3.667603157952 -0.021725201808 7.552223574011 1.00
RbVO3  3.84000001  1.14570633817  0.92613492  2.39300 3.29810 1.45970 2.04700 37 23 -2.224275864208 -2.224275940564 -0.611258460659 4.006416322987 -4.798406943350 -4.798407108071 -0.664676976192 7.407416209273 1.00
RbCrO3  3.78822829  1.16328550412  0.00883941  2.39300 3.29810 1.42470 2.01210 37 24 -2.224275864208 -2.224275940564 -0.611258460659 4.006416322987 -4.733548486143 -4.733548648638 -1.259830231993 6.979022153017 1.00
RbMnO3  3.76733883  1.06285524396  0.02357941  2.39300 3.29810 0.41350 2.18240 37 25 -2.224275864208 -2.224275940564 -0.611258460659 4.006416322987 -4.333466263373 -0.671345464134 -1.423902065558 6.884430469844 1.00
RbFeO3  3.77452908  0.981570779978  0.01079883  2.39300 3.29810 1.39120 2.20810 37 26 -2.224275864208 -2.224275940564 -0.611258460659 4.006416322987 -3.836619504771 -3.836619636475 -1.415506591628 7.089031766055 1.00
RbCoO3  3.80314284  0.911894508579  0.00201291  2.39300 3.29810 1.38110 1.65750 37 27 -2.224275864208 -2.224275940564 -0.611258460659 4.006416322987 -3.347469515837 -3.347469630750 -1.133799031088 7.525127748251 1.00
RbNiO3  3.84499640  0.794327931385  0.01073030  2.39300 3.29810 1.37820 1.61770 37 28 -2.224275864208 -2.224275940564 -0.611258460659 4.006416322987 -2.919817594254 -2.919817694486 -0.680064535054 8.128919800973 1.00
RbCuO3  3.91531815  0.672422664221  0.01449025  2.39300 3.29810 1.23610 2.20480 37 29 -2.224275864208 -2.224275940564 -0.611258460659 4.006416322987 -4.362985932102 -4.362986081876 -1.554935144418 7.534909454159 1.00
RbZnO3  3.99208842  0.594466901348  0.00288350  2.39300 3.29810 1.11690 1.78990 37 30 -2.224275864208 -2.224275940564 -0.611258460659 4.006416322987 -6.384766005031 -0.880351142307 1.016686332121 9.995763731659 1.00
RbGaO3  3.98371566  0.686166007705  0.04421941  2.39300 3.29810 1.00870 1.37830 37 31 -2.224275864208 -2.224275940564 -0.611258460659 4.006416322987 -2.447267344605 -2.447267428616 -0.221448418066 5.403241923784 1.00
RbGeO3  3.89066639  0.818856426901  0.02009325  2.39300 3.29810 0.92390 1.18940 37 32 -2.224275864208 -2.224275940564 -0.611258460659 4.006416322987 -3.864142063585 -3.864142196235 -0.978668998444 7.285215454342 1.00
RbZrO3  4.20072689  0.8656674341  0.04109973  2.39300 3.29810 1.67180 2.26450 37 40 -2.224275864208 -2.224275940564 -0.611258460659 4.006416322987 -3.230129340890 -3.230129451775 -0.047328544585 7.150603804508 1.00
RbNbO3  4.02577438  1.17269195774  2.77054940  2.39300 3.29810 1.58200 2.11090 37 41 -2.224275864208 -2.224275940564 -0.611258460659 4.006416322987 -4.395561840699 -4.395561991591 -0.969575749518 7.291456922287 1.00
RbMoO3  3.94925242  1.24978551463  0.02497431  2.39300 3.29810 1.55920 2.24600 37 42 -2.224275864208 -2.224275940564 -0.611258460659 4.006416322987 -4.405289070280 -4.405289221506 -1.713307224028 6.693232569522 1.00
RbTcO3  3.90694334  1.2512921248  0.02255607  2.39300 3.29810 1.58880 2.13150 37 43 -2.224275864208 -2.224275940564 -0.611258460659 4.006416322987 -3.015504540133 -3.015504643650 -1.275831727848 7.207933304014 1.00
RbRuO3  3.91325889  1.15453211593  0.00305940  2.39300 3.29810 1.55180 2.19700 37 44 -2.224275864208 -2.224275940564 -0.611258460659 4.006416322987 -3.663439802229 -2.821777985343 -0.586474863883 8.167782092633 1.00
